clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI,tot_samp_ppl,pct_samp_ppl_mis
1,0.26060608,0.08882899,0.06268275,0.45852938,55,0.0
2,0.0,,,,54,0.0
3,0.52116406,0.08107964,0.3445067,0.69782144,63,0.0
4,0.23148149,0.0759098,0.066088244,0.39687473,66,0.0
5,0.42767298,0.11159198,0.1820607,0.67328525,53,0.0
6,0.31642514,0.065403454,0.17512956,0.4577207,69,0.0
7,0.35947716,0.08757546,0.16866662,0.55028766,68,0.0
8,0.074681245,0.04593734,-0.025407625,0.1747701,65,6.15384578704834
9,0.33106577,0.07420065,0.16939645,0.49273512,49,0.0
10,0.41358027,0.08386435,0.23240235,0.5947582,54,0.0
11,0.51282054,0.035925068,0.43375,0.5918911,52,0.0
12,0.27480158,0.07045345,0.11973459,0.42986858,56,0.0
13,0.22955975,0.08424486,0.041850504,0.417269,55,3.636366128921509
14,0.101388894,0.055377014,-0.021998782,0.22477657,40,0.0
15,0.27678573,0.07607546,0.10727904,0.4462924,56,0.0
16,0.23125002,0.06814233,0.08403745,0.37846258,80,0.0
17,0.24444446,0.095432155,0.0343997,0.45448923,60,0.0
18,0.47222227,0.06881635,0.3235536,0.620891,80,0.0
19,0.13215488,0.05550727,0.011214937,0.25309482,73,9.589040279388428
20,0.56076396,0.08793583,0.37079015,0.7507378,64,0.0
21,0.41018522,0.084476896,0.22195895,0.5984115,68,11.764705181121826
22,0.2484985,0.0664139,0.105019994,0.391977,74,0.0
23,0.49516913,0.087688565,0.29978684,0.69055146,46,0.0
24,0.45473254,0.06827045,0.3044703,0.6049948,54,0.0
25,0.046296306,0.048005417,-0.059362903,0.15195552,54,0.0
26,0.5259857,0.035639234,0.4489918,0.6029796,62,0.0
27,0.25299147,0.06896771,0.102723725,0.4032592,69,5.797100067138672
28,0.3820663,0.08127726,0.20497836,0.5591542,63,9.52380895614624
29,0.13821138,0.07315633,-0.024791075,0.30121383,41,0.0
30,0.6228957,0.051307876,0.51205176,0.7337396,66,0.0
31,0.20169082,0.0725537,0.04003111,0.36335054,46,0.0
32,0.4061931,0.06278232,0.2663054,0.5460808,64,4.6875
33,0.005636071,0.006135513,-0.007868103,0.019140245,69,0.0
34,0.79738575,0.05766078,0.6728172,0.9219543,85,0.0
35,0.120243534,0.05333981,0.005009882,0.2354772,73,0.0
36,0.48863637,0.033706557,0.41519612,0.5620767,49,10.204082727432251
37,0.20715633,0.08073599,0.032736823,0.38157582,59,0.0
38,0.3660131,0.089479305,0.16907048,0.56295574,61,16.39344096183777
39,0.4666667,0.045398533,0.36775178,0.5655816,77,2.5974035263061523
40,0.22027291,0.056313068,0.09861592,0.34192988,57,0.0
41,0.060606062,0.059452455,-0.07649155,0.19770367,44,0.0
42,0.23423424,0.06453103,0.09363321,0.37483525,74,0.0
43,0.18390806,0.07503038,0.018767312,0.3490488,58,0.0
44,0.6296297,0.06905439,0.43790397,0.8213554,36,8.33333134651184
45,0.6417625,0.047695275,0.5387232,0.7448019,58,0.0
46,0.18949772,0.064976156,0.046486165,0.33250928,73,0.0
47,0.24470901,0.09192735,0.0398821,0.4495359,42,0.0
48,0.43867245,0.07433107,0.27671897,0.60062593,77,0.0
49,0.36336336,0.04164826,0.2726196,0.45410714,74,0.0
50,0.26134586,0.05094826,0.15033914,0.37235257,78,8.974361419677734
51,0.661681,0.053767297,0.54333997,0.780022,78,0.0
52,0.6039427,0.035327636,0.527622,0.6802634,62,0.0
53,0.6993465,0.04877182,0.5920004,0.80669254,73,6.849312782287598
54,0.53086424,0.08162919,0.34262702,0.7191015,45,0.0
55,0.39339343,0.091631986,0.19374448,0.5930424,74,0.0
56,0.6300985,0.042202324,0.53814757,0.7220495,79,0.0
57,0.25292397,0.0690874,0.103669725,0.40217823,76,0.0
58,0.23383087,0.08106979,0.057194956,0.41046676,70,4.285717010498047
59,0.43434346,0.07624396,0.26822215,0.60046476,81,4.938268661499023
60,0.25266364,0.07696828,0.08638377,0.4189435,73,0.0
61,0.30392158,0.097516105,0.0892901,0.5185531,68,0.0
62,0.2594851,0.07351377,0.09768239,0.42128783,82,0.0
63,0.125323,0.056290075,-9.910303e-05,0.2507451,49,12.244898080825806
64,0.31296298,0.07904751,0.14219123,0.48373476,90,0.0
65,0.04419192,0.032333363,-0.026973328,0.11535717,88,0.0
66,0.37878788,0.055894166,0.25803587,0.49953988,66,0.0
67,0.4452381,0.06903041,0.29483378,0.59564245,70,0.0
68,0.65116286,0.0484301,0.54160637,0.76071936,49,12.244898080825806
69,0.5448344,0.08535199,0.35465828,0.73501045,57,0.0
70,0.1638889,0.09921405,-0.05717377,0.3849516,60,0.0
71,0.28650796,0.08797199,0.09483345,0.47818246,77,9.090906381607056
72,0.45402303,0.09512378,0.24207404,0.66597205,64,9.375
73,0.28611112,0.05718484,0.16257077,0.40965146,60,0.0
74,0.3324373,0.083265856,0.15255235,0.51232225,62,0.0
75,0.42307696,0.0881302,0.2237126,0.6224413,39,0.0
76,0.3668583,0.12860304,0.075938016,0.65777856,58,0.0
77,0.4058957,0.09954006,0.18072046,0.631071,53,7.547169923782349
