clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI,tot_samp_ppl,pct_samp_ppl_mis
1,0.26060608,0.08882899,0.06268275,0.45852938,55,0.0
2,0.0,,,,54,0.0
3,0.52116406,0.08107964,0.3445067,0.69782144,63,0.0
4,0.23148149,0.0759098,0.066088244,0.39687473,66,0.0
5,0.41614258,0.11133801,0.17108928,0.6611959,53,0.0
6,0.31239936,0.06391255,0.1743247,0.45047402,69,0.0
7,0.33251637,0.081353925,0.15526138,0.50977135,68,0.0
8,0.074681245,0.04593734,-0.025407625,0.1747701,65,6.15384578704834
9,0.3117914,0.07246654,0.15390037,0.46968243,49,0.0
10,0.39300415,0.0831718,0.21332239,0.5726859,54,0.0
11,0.47222224,0.05836823,0.34375465,0.6006898,52,0.0
12,0.26984128,0.07018987,0.11535441,0.42432815,56,0.0
13,0.22955975,0.08424486,0.041850504,0.417269,55,3.636366128921509
14,0.058333334,0.04264874,-0.03669398,0.15336065,40,0.0
15,0.24404763,0.06743512,0.093792796,0.39430246,56,0.0
16,0.23125002,0.06814233,0.08403745,0.37846258,80,0.0
17,0.24444446,0.095432155,0.0343997,0.45448923,60,0.0
18,0.42638892,0.0926013,0.22633599,0.6264419,80,0.0
19,0.12878788,0.054227024,0.010637344,0.24693842,73,9.589040279388428
20,0.55642366,0.08784875,0.366638,0.7462094,64,0.0
21,0.41018522,0.084476896,0.22195895,0.5984115,68,11.764705181121826
22,0.21471472,0.06233645,0.080045015,0.34938443,74,0.0
23,0.4903382,0.0884033,0.2933634,0.687313,46,0.0
24,0.41872433,0.06830915,0.2683769,0.56907177,54,0.0
25,0.046296306,0.048005417,-0.059362903,0.15195552,54,0.0
26,0.5053764,0.034698978,0.43041378,0.58033895,62,0.0
27,0.25299147,0.06896771,0.102723725,0.4032592,69,5.797100067138672
28,0.37134504,0.079021595,0.19917178,0.5435183,63,9.52380895614624
29,0.1300813,0.07329691,-0.033234388,0.29339698,41,0.0
30,0.6195287,0.051976405,0.5072405,0.7318169,66,0.0
31,0.18961354,0.06778385,0.038581707,0.34064534,46,0.0
32,0.36885247,0.05873755,0.23797706,0.4997279,64,4.6875
33,0.005636071,0.006135513,-0.007868103,0.019140245,69,0.0
34,0.79738575,0.05766078,0.6728172,0.9219543,85,0.0
35,0.057838663,0.040032588,-0.028646486,0.14432381,73,0.0
36,0.48232326,0.0336663,0.40897068,0.5556758,49,10.204082727432251
37,0.20056498,0.07954739,0.028713306,0.37241668,59,0.0
38,0.36056647,0.08937349,0.16385674,0.5572762,61,16.39344096183777
39,0.44370374,0.044700753,0.34630916,0.5410983,77,2.5974035263061523
40,0.22027291,0.056313068,0.09861592,0.34192988,57,0.0
41,0.060606062,0.059452455,-0.07649155,0.19770367,44,0.0
42,0.23423424,0.06453103,0.09363321,0.37483525,74,0.0
43,0.16187741,0.07214012,0.0030980622,0.32065675,58,0.0
44,0.6296297,0.06905439,0.43790397,0.8213554,36,8.33333134651184
45,0.6417625,0.047695275,0.5387232,0.7448019,58,0.0
46,0.1826484,0.06323422,0.043470833,0.32182598,73,0.0
47,0.23015875,0.086803466,0.036748566,0.4235689,42,0.0
48,0.43867245,0.07433107,0.27671897,0.60062593,77,0.0
49,0.35285285,0.04141664,0.26261374,0.44309196,74,0.0
50,0.26134586,0.05094826,0.15033914,0.37235257,78,8.974361419677734
51,0.661681,0.053767297,0.54333997,0.780022,78,0.0
52,0.5958782,0.03796691,0.51385564,0.67790073,62,0.0
53,0.6993465,0.04877182,0.5920004,0.80669254,73,6.849312782287598
54,0.53086424,0.08162919,0.34262702,0.7191015,45,0.0
55,0.36186188,0.08545673,0.17566766,0.5480561,74,0.0
56,0.6265823,0.04118304,0.5368522,0.71631247,79,0.0
57,0.25292397,0.0690874,0.103669725,0.40217823,76,0.0
58,0.21973467,0.07660692,0.05282253,0.3866468,70,4.285717010498047
59,0.40548342,0.07302246,0.24638115,0.5645857,81,4.938268661499023
60,0.23363775,0.07029022,0.081784956,0.38549057,73,0.0
61,0.30392158,0.097516105,0.0892901,0.5185531,68,0.0
62,0.2594851,0.07351377,0.09768239,0.42128783,82,0.0
63,0.11886305,0.053205155,0.00031458074,0.23741153,49,12.244898080825806
64,0.30432102,0.0768523,0.13829172,0.47035033,90,0.0
65,0.04419192,0.032333363,-0.026973328,0.11535717,88,0.0
66,0.3754209,0.05501984,0.25655773,0.49428403,66,0.0
67,0.43333337,0.06734678,0.2865973,0.58006936,70,0.0
68,0.6434109,0.05386436,0.52156126,0.7652606,49,12.244898080825806
69,0.5272905,0.0819842,0.34461832,0.70996267,57,0.0
70,0.1638889,0.09921405,-0.05717377,0.3849516,60,0.0
71,0.27380955,0.083188936,0.09255642,0.45506266,77,9.090906381607056
72,0.4358238,0.093151025,0.22827038,0.64337724,64,9.375
73,0.23148149,0.05950944,0.102919154,0.36004382,60,0.0
74,0.32258067,0.08173435,0.14600433,0.49915698,62,0.0
75,0.42307696,0.0881302,0.2237126,0.6224413,39,0.0
76,0.33812264,0.119291425,0.0682667,0.6079786,58,0.0
77,0.4058957,0.09954006,0.18072046,0.631071,53,7.547169923782349
