clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI,tot_samp_ppl,pct_samp_ppl_mis
1,0.004830918,0.0051570577,-0.0063102283,0.015972065,69,0.0
2,0.041062802,0.03552746,-0.03809731,0.12022292,56,17.85714030265808
3,0.19323672,0.07664834,0.02245357,0.36401987,57,19.298243522644043
4,0.25396827,0.08447268,0.0657514,0.44218513,63,0.0
5,0.048611112,0.046937652,-0.055972494,0.15319471,56,0.0
6,0.030131828,0.02315237,-0.021454869,0.08171853,59,0.0
7,0.2945493,0.07277084,0.13733743,0.45176113,53,0.0
8,0.40067342,0.07532119,0.23795189,0.56339496,66,0.0
9,0.26451078,0.05888641,0.13729444,0.39172715,67,0.0
10,0.2520129,0.081249684,0.07648363,0.42754218,69,0.0
11,0.32441702,0.05651246,0.20003393,0.44880012,85,4.7058820724487305
12,0.23188406,0.067585945,0.08587351,0.3778946,69,0.0
13,0.11469534,0.061017174,-0.019602554,0.24899323,68,8.823531866073608
14,0.24166667,0.0695463,0.08434201,0.39899135,53,24.528300762176514
15,0.097222224,0.08012166,-0.07912436,0.2735688,64,0.0
16,0.0,,,,49,6.122446060180664
17,0.16964287,0.06157195,0.036624756,0.30266097,56,0.0
18,0.14636755,0.09395379,-0.06297454,0.3557096,52,0.0
19,0.09297053,0.058337543,-0.037013616,0.22295466,54,9.259259700775146
20,0.22327045,0.0738823,0.060656603,0.38588428,53,0.0
21,0.50303036,0.08105822,0.32462242,0.6814383,55,0.0
22,0.09856631,0.05934078,-0.029631646,0.22676426,62,0.0
23,0.346516,0.07564959,0.1800124,0.5130196,63,6.34920597076416
24,0.2610063,0.07325697,0.10139308,0.42061952,53,0.0
25,0.15575399,0.09604222,-0.058241427,0.3697494,56,0.0
26,0.33829367,0.084807955,0.14932977,0.52725756,65,13.846153020858765
27,0.3559028,0.081922345,0.17559293,0.5362127,64,0.0
28,0.08234127,0.049669795,-0.028329927,0.19301248,56,0.0
29,0.0,,,,78,0.0
30,0.1904762,0.077945456,0.016802901,0.36414948,42,0.0
31,0.118181825,0.05346222,-0.00093942235,0.23730306,55,0.0
32,0.22555555,0.061834652,0.08777937,0.36333174,50,0.0
33,0.33444446,0.092276394,0.1313455,0.5375434,50,0.0
34,0.35658917,0.10603527,0.116720736,0.5964576,50,13.999998569488525
35,0.027777778,0.028244127,-0.034387127,0.089942686,64,12.5
36,0.14241003,0.097337164,-0.06787413,0.35269418,71,0.0
37,0.11711712,0.07535075,-0.053338103,0.28757235,37,0.0
38,0.32930762,0.10224979,0.101480864,0.55713433,73,5.47945499420166
39,0.11965812,0.06264345,-0.018219184,0.25753543,62,16.129034757614136
40,0.078431375,0.046753164,-0.022572692,0.17943545,68,0.0
41,0.0,,,,42,7.142859697341919
42,0.012121213,0.012976956,-0.016793247,0.04103567,58,5.17241358757019
43,0.13550135,0.05825131,0.0057093487,0.26529336,41,0.0
44,0.03076923,0.03173556,-0.039080266,0.10061873,65,0.0
45,0.21267362,0.090663746,0.007577977,0.41776925,69,7.24637508392334
46,0.1030466,0.06912889,-0.04910507,0.25519827,66,6.060606241226196
47,0.16764133,0.06070166,0.035383776,0.2998989,57,0.0
48,0.24425289,0.0900303,0.04809373,0.44041207,58,0.0
49,0.2213404,0.07285287,0.060992308,0.38168848,72,12.5
50,0.061643835,0.058431074,-0.06458882,0.1878765,73,0.0
51,0.4489982,0.06328026,0.3122895,0.5857069,61,0.0
52,0.33015877,0.096176624,0.11847544,0.5418421,70,0.0
53,0.26239318,0.08012568,0.08929215,0.43549418,65,0.0
54,0.04613936,0.044633273,-0.052097812,0.14437653,59,0.0
55,0.35726497,0.034786526,0.28147164,0.4330583,65,0.0
56,0.21057348,0.069991365,0.0580754,0.36307156,62,0.0
57,0.21481483,0.06842123,0.06699975,0.3626299,60,0.0
58,0.29044837,0.0845779,0.10616894,0.47472778,57,0.0
59,0.20498085,0.060965527,0.072148375,0.33781332,58,0.0
60,0.4421769,0.072228916,0.2848036,0.5995502,49,0.0
61,0.31451613,0.074451916,0.15229936,0.47673294,62,0.0
62,0.24808429,0.06406094,0.10708712,0.38908148,65,10.769230127334595
63,0.052380953,0.040117692,-0.03428805,0.13904996,70,0.0
64,0.34188035,0.08383032,0.15509477,0.52866596,39,0.0
65,0.21345031,0.084896974,0.028475696,0.39842492,57,0.0
66,0.18611111,0.06470304,0.046328697,0.32589352,60,0.0
67,0.25720167,0.076433465,0.08689728,0.42750603,58,6.896549463272095
68,0.50555557,0.060376264,0.3710289,0.6400823,50,0.0
69,0.0,,,,41,4.878050088882446
70,0.0,,,,56,17.85714030265808
71,0.0,,,,60,11.666667461395264
72,0.0,,,,65,0.0
73,0.40931377,0.1111346,0.16717225,0.6514553,73,6.849312782287598
74,0.074074075,0.049494047,-0.03620553,0.18435368,60,10.000002384185791
75,0.22718255,0.06740401,0.078827314,0.37553778,59,5.084747076034546
76,0.16062802,0.05637606,0.037795138,0.28346092,50,7.999998331069946
77,0.23180076,0.06264129,0.09647249,0.36712906,58,0.0
78,0.43427232,0.088190705,0.2421213,0.62642336,71,0.0
79,0.47821355,0.100324206,0.2546773,0.7017498,68,25.0
80,0.15482697,0.07071809,0.0007454962,0.30890843,61,0.0
81,0.42956352,0.061866906,0.29339537,0.56573164,60,6.666666269302368
82,0.41358027,0.06440321,0.2744456,0.55271494,63,0.0
83,0.3240741,0.034769673,0.24895877,0.39918938,72,0.0
84,0.34848487,0.060629774,0.21503963,0.4819301,44,0.0
85,0.13120568,0.05340126,0.013670291,0.24874106,49,4.081630706787109
86,0.124786325,0.06412534,-0.014930776,0.26450342,65,0.0
87,0.033625733,0.02184428,-0.014453205,0.08170467,48,20.83333134651184
88,0.234127,0.08056065,0.054626685,0.4136273,57,26.31579041481018
89,0.12037037,0.049133915,0.014223002,0.22651774,60,0.0
90,0.30072466,0.083633944,0.11664758,0.4848017,57,19.298243522644043
91,0.09961686,0.05386795,-0.0189457,0.21817942,58,0.0
92,0.32375482,0.08871362,0.12849745,0.51901215,71,18.309861421585083
93,0.55065364,0.078031644,0.38063732,0.72067,74,8.10810923576355
94,0.24666668,0.09571664,0.033396717,0.45993665,53,5.660378932952881
95,0.019607844,0.020817239,-0.028396795,0.067612484,62,17.741936445236206
96,0.36898842,0.07692904,0.20279333,0.5351835,67,0.0
97,0.36795494,0.10102407,0.14970572,0.5862042,69,0.0
98,0.35185188,0.082444206,0.1703934,0.53331035,66,0.0
99,0.43232328,0.103924595,0.20358679,0.6610598,55,0.0
100,0.2989418,0.079459295,0.12581488,0.47206873,67,5.9701502323150635
101,0.13580248,0.06175227,-0.0017901605,0.27339512,60,10.000002384185791
102,0.25318763,0.09231708,0.049999103,0.45637617,61,0.0
103,0.16005291,0.07744128,-0.018527,0.33863282,44,4.545456171035767
104,0.1779514,0.07245383,0.016514212,0.33938858,64,0.0
105,0.10363248,0.056056906,-0.019747939,0.2270129,52,0.0
106,0.052287582,0.048851687,-0.056560762,0.16113593,51,0.0
107,0.085185185,0.05277126,-0.032396507,0.20276688,60,0.0
108,0.1252955,0.061317228,-0.0113277845,0.2619188,47,0.0
109,0.02020202,0.02076832,-0.025508745,0.06591278,66,0.0
110,0.48325726,0.05978883,0.35409135,0.6124232,73,0.0
111,0.30214426,0.06953607,0.15192072,0.45236778,57,0.0
112,0.14750957,0.06327286,0.00964986,0.2853693,58,0.0
113,0.29384205,0.063487284,0.15668611,0.43099797,83,0.0
114,0.17337164,0.074378856,0.012685897,0.3340574,58,0.0
115,0.2595486,0.06737464,0.11399455,0.40510267,64,0.0
116,0.21252207,0.08342585,0.03229147,0.39275268,63,0.0
117,0.4938272,0.037845023,0.41206798,0.5755864,63,0.0
118,0.26971328,0.07129822,0.11568284,0.4237437,62,0.0
119,0.41574076,0.0817865,0.23905179,0.59242976,60,0.0
120,0.3298611,0.0640062,0.19158413,0.4681381,64,0.0
121,0.18438004,0.07251173,0.027727956,0.34103212,69,0.0
122,0.18571429,0.078051716,0.017093819,0.35433477,70,0.0
123,0.17301588,0.080068596,-0.0014386068,0.34747037,70,0.0
124,0.3425926,0.059056986,0.21500774,0.47017747,72,0.0
125,0.40517244,0.0742314,0.24480525,0.5655396,58,0.0
126,0.25706217,0.0838641,0.07433798,0.43978634,59,0.0
127,0.13383839,0.06783479,-0.012709749,0.28038654,66,0.0
128,0.38640136,0.08216121,0.20890284,0.5638999,67,0.0
129,0.3625236,0.09121447,0.1654667,0.55958045,59,0.0
130,0.2570481,0.06283842,0.12129394,0.39280227,67,0.0
131,0.18482907,0.066189244,0.040615086,0.32904306,52,0.0
132,0.2134503,0.072175615,0.05752436,0.36937624,76,0.0
133,0.1261574,0.059122484,-0.0055756913,0.25789052,57,15.789473056793213
134,0.26349208,0.1172989,0.007919731,0.5190644,74,5.405408143997192
135,0.24858758,0.073349304,0.088773176,0.40840197,59,0.0
136,0.0,,,,64,0.0
137,0.20967743,0.07415589,0.04646141,0.37289345,62,0.0
138,0.0,,,,79,3.7974655628204346
139,0.10564663,0.06388024,-0.03886052,0.25015378,61,0.0
140,0.0,,,,57,0.0
141,0.050925925,0.037988394,-0.033717494,0.13556935,48,0.0
142,0.30940172,0.078824095,0.13911262,0.47969085,65,0.0
143,0.22619049,0.0738174,0.06535619,0.3870248,56,0.0
144,0.05147059,0.050273042,-0.05806496,0.16100614,68,0.0
145,0.09836066,0.04631133,-0.0025430627,0.19926438,66,7.575756311416626
146,0.46187365,0.03628532,0.38201022,0.5417371,51,0.0
147,0.26862746,0.06885039,0.11988524,0.4173697,85,0.0
148,0.4322034,0.06860129,0.27935022,0.5850566,68,13.235294818878174
149,0.16666667,0.06625246,0.020845985,0.31248736,59,0.0
150,0.27095518,0.064997084,0.13053751,0.41137284,57,0.0
151,0.17238563,0.060164712,0.042407673,0.30236357,68,0.0
152,0.2638889,0.07048422,0.11031696,0.41746083,77,6.493508815765381
153,0.44171223,0.07582206,0.274829,0.6085955,65,6.15384578704834
154,0.38606405,0.08983078,0.18590862,0.5862195,67,11.940300464630127
155,0.28557506,0.07394866,0.1258187,0.44533142,57,0.0
156,0.2986111,0.048045464,0.1948152,0.40240702,64,0.0
157,0.15257049,0.055044137,0.03365485,0.2714861,67,0.0
158,0.057017546,0.034057066,-0.016558269,0.13059336,76,0.0
159,0.32136753,0.08086653,0.1451745,0.49756056,65,0.0
160,0.17111112,0.068140805,0.022645062,0.31957716,75,0.0
161,0.0,,,,54,0.0
162,0.35185185,0.066669345,0.20511363,0.49859008,47,10.638296604156494
163,0.31051588,0.078234695,0.13619813,0.48483363,56,0.0
164,0.20340502,0.05878566,0.07640633,0.33040372,62,0.0
165,0.43518522,0.0922437,0.23420346,0.636167,60,0.0
166,0.10934744,0.06705163,-0.038232185,0.25692707,63,0.0
167,0.37795997,0.08990841,0.18007287,0.575847,64,4.6875
168,0.32286638,0.103441454,0.09238445,0.5533483,69,0.0
