clust_no,mpi
1,0.0335097
2,0.08509142
3,0.055555556
4,0.06603774
5,0.0
6,0.2882716
7,0.032921813
8,0.1598916
9,0.121283256
10,0.42109504
11,0.10798123
12,0.34408602
13,0.30109742
14,0.20261438
15,0.0
16,0.108066976
17,0.0
18,0.12169313
19,0.023931624
20,0.08024692
21,0.12962963
22,0.07894737
23,0.21995465
24,0.21527779
25,0.19444445
26,0.028985508
27,0.034825873
28,0.0
29,0.0
30,0.07669082
31,0.1962963
32,0.033167496
33,0.16008772
34,0.11597222
35,0.12654321
36,0.41728395
37,0.0
38,0.0
39,0.12875818
40,0.013565891
41,0.22081576
42,0.17440225
43,0.24074075
44,0.15217392
45,0.2888889
46,0.115127176
47,0.25757575
48,0.16209151
49,0.36805558
50,0.3402062
51,0.0651341
52,0.0
53,0.3397933
54,0.0
55,0.13432837
56,0.1857639
57,0.13461539
58,0.056603774
59,0.026143791
60,0.34062853
61,0.113553114
62,0.31057563
63,0.10855684
64,0.10708535
65,0.27073553
66,0.34528834
67,0.31011608
68,0.2309237
69,0.45325208
70,0.02170139
71,0.28523037
72,0.0
73,0.0234375
74,0.02631579
75,0.0
76,0.053333335
77,0.0
78,0.19281046
79,0.36820334
80,0.25788754
81,0.24334899
82,0.10229277
83,0.25231484
84,0.24358974
85,0.24867725
86,0.20127505
87,0.17414531
88,0.058872305
89,0.16319445
90,0.1474359
91,0.34627095
92,0.18196458
93,0.035353538
94,0.14236112
95,0.41324204
96,0.38888893
97,0.29814816
98,0.1688889
99,0.3003663
100,0.275
101,0.032163747
102,0.0
103,0.01984127
104,0.007490637
105,0.0
106,0.011111111
107,0.0
108,0.17299579
109,0.24313726
110,0.21097884
111,0.08740741
112,0.32971016
113,0.053398058
114,0.28478965
115,0.19384058
116,0.076754384
117,0.14468865
118,0.19973545
119,0.29832572
120,0.03256705
121,0.07336182
122,0.045787547
123,0.15189874
124,0.20643276
125,0.4266118
126,0.25156057
127,0.22857143
128,0.031914894
129,0.30486113
130,0.33585858
131,0.123931624
132,0.28938642
133,0.0
134,0.103174604
135,0.17938422
136,0.20370372
137,0.47000003
138,0.504146
139,0.13431786
140,0.017094018
141,0.034293555
142,0.03153153
143,0.056338035
144,0.033333335
145,0.13333334
146,0.15718158
147,0.37885803
148,0.2116737
149,0.20687136
150,0.08701473
151,0.3894283
152,0.13817663
153,0.1966967
154,0.30626783
155,0.15806879
156,0.45083016
157,0.119883046
158,0.19111112
159,0.1462585
160,0.07427537
161,0.05490196
162,0.11237374
163,0.07154882
164,0.09661836
165,0.046176046
166,0.23925927
167,0.18364199
168,0.14426525
169,0.12750456
170,0.15
171,0.40952381
172,0.12353802
173,0.25231484
174,0.20873016
175,0.0
176,0.061844867
177,0.06962963
178,0.12804878
179,0.14861111
180,0.28039217
181,0.096296296
182,0.10573477
183,0.34494197
184,0.071338385
185,0.12962963
186,0.062330622
187,0.0
188,0.012820513
189,0.0
190,0.0
191,0.0
192,0.3530702
193,0.3254902
194,0.38122606
195,0.18592593
196,0.14576457
197,0.05907173
198,0.05175038
199,0.14358975
200,0.37974685
201,0.1904762
202,0.077932104
203,0.060606062
204,0.19783199
205,0.008385744
206,0.15294924
207,0.1730419
208,0.13708514
209,0.18276973
210,0.41523483
211,0.3465278
212,0.46993467
213,0.11319444
214,0.2552743
215,0.53423125
216,0.45158732
217,0.18444446
218,0.34722224
219,0.28580248
220,0.38576782
221,0.238965
222,0.2887324
223,0.4533097
224,0.0
225,0.0
226,0.0
227,0.018939395
228,0.019323671
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.031746034
236,0.0
237,0.048245616
238,0.054263566
239,0.039855074
240,0.04777778
241,0.06116208
242,0.02710027
243,0.025089607
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0960961
249,0.0
250,0.014336918
251,0.04980843
252,0.0
253,0.063046195
254,0.00909091
255,0.027006174
256,0.0
257,0.07588076
258,0.0
259,0.0
260,0.0
261,0.0
262,0.040229887
263,0.06382979
264,0.2806713
265,0.10564663
266,0.27083334
267,0.14754099
268,0.100456625
269,0.11111111
270,0.35042736
271,0.036231883
272,0.21856725
273,0.027417028
274,0.27867386
275,0.046666667
276,0.19082126
277,0.3409091
278,0.2960705
279,0.09953704
280,0.05092593
