clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
1,0.0335097,0.028244328,-0.027068358,0.094087765
2,0.08509142,0.039145615,0.002501396,0.16768146
3,0.055555556,0.033659432,-0.016187826,0.12729894
4,0.06603774,0.04477114,-0.030684425,0.1627599
5,0.0,,,
6,0.2882716,0.06166245,0.15755306,0.41899016
7,0.032921813,0.024138613,-0.018850362,0.08469398
8,0.1598916,0.056215823,0.040719382,0.27906382
9,0.121283256,0.044306435,0.027357811,0.21520871
10,0.42109504,0.0602729,0.28977168,0.5524184
11,0.10798123,0.043880284,0.014452617,0.20150983
12,0.34408602,0.063793376,0.20811367,0.4800584
13,0.30109742,0.081642754,0.12708001,0.47511482
14,0.20261438,0.06887689,0.052544523,0.35268423
15,0.0,,,
16,0.108066976,0.065575786,-0.032579098,0.24871305
17,0.0,,,
18,0.12169313,0.058705427,-0.0021644987,0.24555075
19,0.023931624,0.024333252,-0.028637169,0.076500416
20,0.08024692,0.04687449,-0.019663697,0.18015753
21,0.12962963,0.053543523,0.016662672,0.2425966
22,0.07894737,0.04180185,-0.0101511665,0.16804591
23,0.21995465,0.0584819,0.09656864,0.34334067
24,0.21527779,0.070856184,0.06220231,0.36835328
25,0.19444445,0.062202968,0.06258004,0.32630885
26,0.028985508,0.02208767,-0.017838264,0.07580928
27,0.034825873,0.033746593,-0.038079213,0.107730955
28,0.0,,,
29,0.0,,,
30,0.07669082,0.05043578,-0.030810503,0.18419215
31,0.1962963,0.058486365,0.06994419,0.3226484
32,0.033167496,0.03325349,-0.038672302,0.10500729
33,0.16008772,0.053737096,0.046712358,0.2734631
34,0.11597222,0.06039789,-0.011456185,0.24340063
35,0.12654321,0.056767743,0.006200975,0.24688545
36,0.41728395,0.048946485,0.3115415,0.5230264
37,0.0,,,
38,0.0,,,
39,0.12875818,0.06831547,-0.017763926,0.27528027
40,0.013565891,0.014076165,-0.01662448,0.043756265
41,0.22081576,0.055733867,0.10266524,0.33896628
