clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
1,rural,Banteay Meanchay,0.15873016,0.025161047,0.10476508,0.21269524,0.029982364,0.025368726,-0.02442814,0.08439287,74,14.864861965179443
2,rural,Banteay Meanchay,0.17580873,0.029573152,0.113414824,0.23820262,0.057665262,0.032810926,-0.011559741,0.12689026,79,0.0
3,rural,Banteay Meanchay,0.17746913,0.02758724,0.118668325,0.23626995,0.043209877,0.030547068,-0.021899657,0.10831941,78,7.692307233810425
4,urban,Banteay Meanchay,0.15199162,0.033085395,0.08051497,0.22346827,0.022012578,0.022520017,-0.02663896,0.070664115,59,10.169494152069092
5,urban,Banteay Meanchay,0.1010101,0.02820393,0.040079214,0.16194099,0.0,,,,66,0.0
6,rural,Banteay Meanchay,0.32222223,0.035862815,0.24619645,0.398248,0.23456791,0.058988634,0.10951758,0.35961822,90,0.0
7,rural,Banteay Meanchay,0.14197531,0.01935312,0.100467,0.18348363,0.020576132,0.020780755,-0.023994155,0.06514642,93,12.903225421905518
8,rural,Banteay Meanchay,0.26219514,0.030957535,0.19656809,0.32782218,0.15108402,0.05239236,0.040017176,0.26215085,85,3.529411554336548
9,rural,Banteay Meanchay,0.23239437,0.022888167,0.18387362,0.2809151,0.117370896,0.042690177,0.026871767,0.20787002,71,0.0
10,rural,Banteay Meanchay,0.40660226,0.045104153,0.30832878,0.5048758,0.3582931,0.060923215,0.22555281,0.49103338,75,7.999998331069946
11,rural,Banteay Meanchay,0.20813772,0.022288503,0.1606309,0.25564453,0.03286385,0.031739146,-0.03478654,0.10051424,79,10.126584768295288
12,rural,Banteay Meanchay,0.37275988,0.038330335,0.2910607,0.45445904,0.32258067,0.05807748,0.19879144,0.4463699,93,0.0
13,rural,Banteay Meanchay,0.3491084,0.061885573,0.21720241,0.48101437,0.28120714,0.079729974,0.11126673,0.45114756,81,0.0
14,rural,Banteay Meanchay,0.22440088,0.050276697,0.11485736,0.33394438,0.15250546,0.062543444,0.016234985,0.28877592,51,0.0
15,urban,Banteay Meanchay,0.07064472,0.020600662,0.026735451,0.11455399,0.0,,,,81,0.0
16,urban,Banteay Meanchay,0.17960426,0.054868396,0.06192326,0.29728526,0.09741248,0.059053853,-0.029245432,0.2240704,77,5.194807052612305
