clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
1,urban,Banteay Meanchay,0.13390313,0.03387142,0.060728382,0.20707789,0.03988604,0.031522,-0.028213095,0.107985176,84,7.142859697341919
2,rural,Banteay Meanchay,0.09953704,0.027918989,0.038087755,0.16098632,0.0,,,,53,9.433960914611816
3,urban,Banteay Meanchay,0.09191919,0.024514372,0.038959112,0.14487928,0.0,,,,55,0.0
4,urban,Banteay Meanchay,0.093474425,0.023473702,0.042762578,0.14418627,0.0,,,,69,8.695650100708008
5,rural,Banteay Meanchay,0.13023679,0.043984413,0.03589961,0.22457398,0.068306014,0.047889814,-0.034407422,0.17101945,61,0.0
6,rural,Banteay Meanchay,0.16481481,0.030069215,0.10032277,0.22930688,0.031481482,0.02665745,-0.02569306,0.08865602,60,0.0
7,rural,Banteay Meanchay,0.13434343,0.021979813,0.08536936,0.18331751,0.0060606063,0.0065784296,-0.008597048,0.02071826,60,8.33333134651184
8,rural,Banteay Meanchay,0.14480874,0.038828813,0.0609242,0.22869329,0.03187614,0.031815127,-0.036856264,0.10060854,61,0.0
9,rural,Banteay Meanchay,0.09562842,0.024559,0.04211895,0.14913788,0.0,,,,64,4.6875
10,rural,Banteay Meanchay,0.1388889,0.038582098,0.05613852,0.22163926,0.036036037,0.035614282,-0.040349003,0.11242107,74,0.0
11,rural,Banteay Meanchay,0.16750842,0.038923092,0.084026694,0.25099015,0.04040404,0.039501525,-0.044318307,0.12512639,66,0.0
12,rural,Banteay Meanchay,0.12542088,0.025828684,0.06914501,0.18169674,0.02020202,0.020597763,-0.02467665,0.065080695,66,0.0
13,rural,Banteay Meanchay,0.18910258,0.03567881,0.11057404,0.2676311,0.0491453,0.035407312,-0.028785672,0.12707627,52,0.0
14,rural,Banteay Meanchay,0.13984674,0.03155499,0.07109433,0.20859917,0.0,,,,63,7.9365074634552
