,unique_id_v,PHUMCODE_v,VILLAGE_v,unique_id_c,COMM_CODE_c,COMM_NAME_c,unique_id_d,DIST_CODE_d,DIST_NAME_d,unique_id_p,PROV_CODE_p,PROV_NAME_p,VillGis,Province,District,Commune,Village,v_name_match,p_name_match,d_name_match,c_name_match
1,1,1020102,Phnum,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020102,Banteay Meanchey,Mongkol Borei,Banteay Neang,Phnum,True,True,True,True
2,2,1020103,Banteay Neang,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020103,Banteay Meanchey,Mongkol Borei,Banteay Neang,Banteay Neang,True,True,True,True
3,3,1020104,Kouk Pnov,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020104,Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Pnov,True,True,True,True
4,4,1020105,Trang,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020105,Banteay Meanchey,Mongkol Borei,Banteay Neang,Trang,True,True,True,True
5,5,1020106,Pongro,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020106,Banteay Meanchey,Mongkol Borei,Banteay Neang,Pongro,True,True,True,True
6,6,1020107,Kouk Tonloab,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020107,Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Tonloab,True,True,True,True
9,9,1020110,Samraong Pen,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020110,Banteay Meanchey,Mongkol Borei,Banteay Neang,Samraong Pen,True,True,True,True
10,10,1020111,Dang Run Lech,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020111,Banteay Meanchey,Mongkol Borei,Banteay Neang,Dang Run Lech,True,True,True,True
12,12,1020113,Ou Snguot,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020113,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Snguot,True,True,True,True
13,13,1020114,Prey Changha Lech,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020114,Banteay Meanchey,Mongkol Borei,Banteay Neang,Prey Changha Lech,True,True,True,True
15,15,1020116,Ou Andoung Lech,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020116,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Andoung Lech,True,True,True,True
16,16,1020117,Ou Andoung Kandal,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020117,Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Andoung Kandal,True,True,True,True
18,18,1020119,Kouk Kduoch,235.0,010201,Banteay Neang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020119,Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Kduoch,True,True,True,True
19,19,1020201,Khtum Reay Lech,226.0,010202,Bat Trang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020201,Banteay Meanchey,Mongkol Borei,Bat Trang,Khtum Reay Lech,True,True,True,True
22,22,1020204,Anlong Thngan Lech,226.0,010202,Bat Trang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020204,Banteay Meanchey,Mongkol Borei,Bat Trang,Anlong Thngan Lech,True,True,True,True
23,23,1020205,Bang Bat Lech,226.0,010202,Bat Trang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020205,Banteay Meanchey,Mongkol Borei,Bat Trang,Bang Bat Lech,True,True,True,True
25,25,1020207,Bat Trang,226.0,010202,Bat Trang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020207,Banteay Meanchey,Mongkol Borei,Bat Trang,Bat Trang,True,True,True,True
28,28,1020210,Bang Bat Touch,226.0,010202,Bat Trang,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020210,Banteay Meanchey,Mongkol Borei,Bat Trang,Bang Bat Touch,True,True,True,True
30,30,1020301,Pralay Char,248.0,010203,Chamnaom,0.0,0102,Mongkol Borei,0.0,01,Banteay Meanchey,1020301,Banteay Meanchey,Mongkol Borei,Chamnaom,Pralay Char,True,True,True,True
