PROV_NAME,pct_match,n_match,total_n,n_not_match
Banteay Meanchey,63.358778625954194,415,655,240
Battambang,63.66013071895424,487,765,278
Kampong Cham,78.51690294438386,720,917,197
Kampong Chhnang,78.39285714285714,439,560,121
Kampong Speu,81.81148748159058,1111,1358,247
Kampong Thom,80.13333333333334,601,750,149
Kampot,70.69672131147541,345,488,143
Kandal,68.63387978142077,628,915,287
Kep,46.666666666666664,7,15,8
Koh Kong,65.04065040650406,80,123,43
Kratie,59.84555984555985,155,259,104
Mondul Kiri,26.732673267326735,27,101,74
Otdar Meanchey,36.52173913043478,84,230,146
Pailin,45.45454545454545,35,77,42
Phnom Penh,7.109004739336493,60,844,784
Preah Sihanouk,69.0909090909091,76,110,34
Preah Vihear,64.78260869565217,149,230,81
Prey Veng,69.52714535901926,794,1142,348
Pursat,53.89221556886228,270,501,231
Ratanak Kiri,71.2,178,250,72
Siem Reap,69.72375690607736,631,905,274
Stung Treng,66.92307692307692,87,130,43
Svay Rieng,48.180494905385736,331,687,356
Takeo,85.63734290843806,954,1114,160
Tboung Khmum,0.0,0,844,844
